,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
354,1037,Pocket Aces,Mumbai,India,Asia,50,2023-02-06,25.0,200,150,Media,Unknown,$19,2023,19.07283,72.88261,19.0
355,1043,Lightico,Tel Aviv,Israel,Asia,20,2023-02-05,25.0,80,60,Finance,Series B,$42,2023,32.08088,34.78057,42.0
356,1044,Eightfold AI,San Francisco Bay Area,USA,North America,90,2023-02-03,15.0,600,510,HR,Series E,$396,2023,37.35411,-121.95524,396.0
357,1046,Protocol Labs,San Francisco Bay Area,USA,North America,89,2023-02-03,20.0,445,356,Crypto,Unknown,$10,2023,37.77493,-122.41942,10.0
358,1050,Okta,San Francisco Bay Area,USA,North America,300,2023-02-02,5.0,6000,5700,Security,Post-IPO,$1200,2023,37.77493,-122.41942,1200.0
359,1054,Miro,San Francisco Bay Area,USA,North America,119,2023-02-02,7.0,1700,1581,Other,Series C,$476,2023,37.77493,-122.41942,476.0
360,1056,Highspot,Seattle,USA,North America,100,2023-02-02,10.0,1000,900,Sales,Series F,$644,2023,47.60621,-122.33207,644.0
361,1065,Splunk,San Francisco Bay Area,USA,North America,325,2023-02-01,4.0,8125,7800,Data,Post-IPO,$2400,2023,37.77493,-122.41942,2400.0
362,1067,DraftKings,Boston,USA,North America,140,2023-02-01,4.0,3500,3360,Consumer,Post-IPO,$719,2023,42.35843,-71.05977,719.0
363,1069,Workato,San Francisco Bay Area,USA,North America,90,2023-02-01,10.0,900,810,Other,Series E,$415,2023,37.38605,-122.08385,415.0
364,1071,Wheel,Austin,USA,North America,56,2023-02-01,28.0,200,144,Healthcare,Series C,$215,2023,30.26715,-97.74306,215.0
365,1072,Chainalysis,New York City,USA,North America,44,2023-02-01,5.0,880,836,Crypto,Series F,$536,2023,40.71427,-74.00597,536.0
366,1074,Exterro,Portland,USA,North America,24,2023-02-01,3.0,800,776,Legal,Private Equity …,$100,2023,45.52345,-122.67621,100.0
367,1075,TheSkimm,New York City,USA,North America,17,2023-02-01,10.0,170,153,Media,Series C,$28,2023,40.71427,-74.00597,28.0
368,1084,PayPal,San Francisco Bay Area,USA,North America,2000,2023-01-31,7.0,28571,26571,Finance,Post-IPO,$216,2023,37.33939,-121.89496,216.0
369,1086,Workday,San Francisco Bay Area,USA,North America,525,2023-01-31,3.0,17500,16975,HR,Post-IPO,$230,2023,37.66243,-121.87468,230.0
370,1087,HubSpot,Boston,USA,North America,500,2023-01-31,7.0,7143,6643,Marketing,Post-IPO,$100,2023,42.35843,-71.05977,100.0
371,1088,Upstart,San Francisco Bay Area,USA,North America,365,2023-01-31,20.0,1825,1460,Finance,Post-IPO,$144,2023,37.56299,-122.32553,144.0
372,1089,Software AG,Frankfurt,Germany,Europe,200,2023-01-31,4.0,5000,4800,Data,Post-IPO,$344,2023,50.11552,8.68417,344.0
373,1090,Wish,San Francisco Bay Area,USA,North America,150,2023-01-31,17.0,882,732,Retail,Post-IPO,$1600,2023,37.77493,-122.41942,1600.0
374,1092,Tilting Point,New York City,USA,North America,60,2023-01-31,14.0,429,369,Consumer,Unknown,$235,2023,40.71427,-74.00597,235.0
375,1095,AU10TIX,Tel Aviv,Israel,Asia,19,2023-01-31,9.0,211,192,Security,Unknown,$80,2023,32.08088,34.78057,80.0
376,1100,Arrival,London,United Kingdom,Europe,800,2023-01-30,50.0,1600,800,Transportation,Post-IPO,$629,2023,51.50853,-0.12574,629.0
377,1103,Glovo,Barcelona,Spain,Europe,250,2023-01-30,6.0,4167,3917,Food,Acquired,1200,2023,41.38879,2.15899,200.0
378,1104,Delivery Hero,Berlin,Germany,Europe,156,2023-01-30,4.0,3900,3744,Food,Post-IPO,9900,2023,52.52437,13.41053,900.0
379,1105,Impossible Foods,San Francisco Bay Area,USA,North America,140,2023-01-30,20.0,700,560,Food,Series H,$1900,2023,37.48522,-122.23635,1900.0
380,1106,Chrono24,Karlsruhe,Germany,Europe,65,2023-01-30,13.0,500,435,Retail,Series C,$205,2023,49.00937,8.40444,205.0
381,1117,DealShare,Bengaluru,India,Asia,100,2023-01-27,6.0,1667,1567,Retail,Series E,$390,2023,12.97194,77.59369,390.0
382,1121,Matrixport,Singapore,Singapore,Asia,29,2023-01-27,10.0,290,261,Crypto,Series C,$100,2023,1.28967,103.85007,100.0
383,1122,Shakepay,Montreal,Canada,North America,21,2023-01-27,25.0,84,63,Crypto,Series A,$45,2023,45.50884,-73.58781,45.0
384,1123,#Paid,Toronto,Canada,North America,19,2023-01-27,17.0,112,93,Marketing,Series B,$21,2023,43.70643,-79.39864,21.0
385,1128,SAP,Walldorf,Germany,Europe,3000,2023-01-26,3.0,100000,97000,Other,Post-IPO,$1300,2023,49.99472,8.58361,1300.0
386,1129,Confluent,San Francisco Bay Area,USA,North America,221,2023-01-26,8.0,2763,2542,Data,Post-IPO,$455,2023,37.38605,-122.08385,455.0
387,1130,Glisser,London,United Kingdom,Europe,25,2023-01-26,100.0,25,0,Travel,Unknown,$1,2023,51.50853,-0.12574,1.0
388,1138,Luno,London,United Kingdom,Europe,330,2023-01-25,35.0,943,613,Crypto,Acquired,$13,2023,51.50853,-0.12574,13.0
389,1140,Guardant Health,San Francisco Bay Area,USA,North America,130,2023-01-25,7.0,1857,1727,Healthcare,Post-IPO,$550,2023,37.44188,-122.14302,550.0
390,1141,SirionLabs,Seattle,USA,North America,130,2023-01-25,15.0,867,737,Legal,Series D,$171,2023,47.60621,-122.33207,171.0
391,1142,Tier Mobility,Berlin,Germany,Europe,80,2023-01-25,7.0,1143,1063,Transportation,Series D,$646,2023,52.52437,13.41053,646.0
392,1148,Vacasa,Portland,USA,North America,1300,2023-01-24,17.0,7647,6347,Travel,Post-IPO,$834,2023,45.52345,-122.67621,834.0
393,1149,Innovaccer,San Francisco Bay Area,USA,North America,245,2023-01-24,15.0,1633,1388,Healthcare,Series E,$379,2023,37.77493,-122.41942,379.0
394,1150,Bolt,San Francisco Bay Area,USA,North America,50,2023-01-24,10.0,500,450,Finance,Series E,$1300,2023,37.77493,-122.41942,1300.0
395,1151,PartnerStack,Toronto,Canada,North America,40,2023-01-24,20.0,200,160,Sales,Series B,$36,2023,43.70643,-79.39864,36.0
396,1152,Gitpod,Kiel,Germany,Europe,21,2023-01-24,28.0,75,54,Product,Series A,$41,2023,54.32133,10.13489,41.0
397,1160,Spotify,Stockholm,Sweden,Europe,600,2023-01-23,6.0,10000,9400,Media,Post-IPO,$2100,2023,59.32938,18.06871,2100.0
398,1161,Uber Freight,San Francisco Bay Area,USA,North America,150,2023-01-23,3.0,5000,4850,Logistics,Subsidi…,$2700,2023,37.77493,-122.36608,2700.0
399,1163,Innovid,New York City,USA,North America,40,2023-01-23,10.0,400,360,Marketing,Post-IPO,$295,2023,40.71427,-74.00597,295.0
400,1165,Ermetic,San Francisco Bay Area,USA,North America,30,2023-01-23,17.0,176,146,Security,Series B,$97,2023,37.44188,-122.14302,97.0
401,1166,Namogoo,Tel Aviv,Israel,Asia,20,2023-01-23,15.0,133,113,Marketing,Series C,$69,2023,32.08088,34.78057,69.0
402,1171,Google,San Francisco Bay Area,USA,North America,12000,2023-01-20,6.0,200000,188000,Consumer,Post-IPO,$26,2023,37.38605,-122.08385,26.0
403,1172,Wayfair,Boston,USA,North America,1750,2023-01-20,10.0,17500,15750,Retail,Post-IPO,$1700,2023,42.35843,-71.05977,1700.0
404,1173,Swiggy,Bengaluru,India,Asia,380,2023-01-20,6.0,6333,5953,Food,Unknown,3600,2023,12.97194,77.59369,600.0
405,1174,MediBuddy,Bengaluru,India,Asia,200,2023-01-20,8.0,2500,2300,Healthcare,Acquired,$192,2023,12.97194,77.59369,192.0
406,1175,Vox Media,Washington DC,USA,North America,130,2023-01-20,7.0,1857,1727,Media,Series F,$307,2023,38.89511,-77.03637,307.0
407,1178,Enjoei,Sao Paulo,Brazil,South America,31,2023-01-20,10.0,310,279,Retail,Unknown,$14,2023,-23.5475,-46.63611,14.0
408,1180,Citrine Informatics,San Francisco Bay Area,USA,North America,22,2023-01-20,27.0,81,59,Data,Series C,$64,2023,37.48522,-122.23635,64.0
409,1189,Hubilo,San Francisco Bay Area,USA,North America,115,2023-01-19,35.0,329,214,Other,Series B,$153,2023,37.77493,-122.41942,153.0
410,1190,Saks.com,New York City,USA,North America,100,2023-01-19,5.0,2000,1900,Retail,Unknown,$965,2023,40.71427,-74.00597,965.0
411,1191,CS Disco,Austin,USA,North America,62,2023-01-19,9.0,689,627,Legal,Post-IPO,$233,2023,30.26715,-97.74306,233.0
412,1204,Microsoft,Seattle,USA,North America,10000,2023-01-18,5.0,200000,190000,Other,Post-IPO,$1,2023,47.60621,-122.33207,1.0
413,1205,Sophos,Oxford,United Kingdom,Europe,450,2023-01-18,10.0,4500,4050,Security,Acquired,$125,2023,51.75222,-1.25596,125.0
414,1206,Teladoc Health,New York City,USA,North America,300,2023-01-18,6.0,5000,4700,Healthcare,Post-IPO,$172,2023,40.71427,-74.00597,172.0
415,1207,Vroom,New York City,USA,North America,275,2023-01-18,20.0,1375,1100,Transportation,Post-IPO,1300,2023,40.71427,-74.00597,300.0
416,1208,8x8,San Francisco Bay Area,USA,North America,155,2023-01-18,7.0,2214,2059,Support,Post-IPO,$253,2023,37.28717,-121.9499,253.0
417,1209,Pagaya,New York City,USA,North America,140,2023-01-18,20.0,700,560,Finance,Post-IPO,$571,2023,40.71427,-74.00597,571.0
418,1210,Benevity,Calgary,Canada,North America,137,2023-01-18,14.0,979,842,Other,Unknown,$69,2023,51.05011,-114.08529,69.0
419,1211,Inspirato,Denver,USA,North America,109,2023-01-18,12.0,908,799,Travel,Post-IPO,$179,2023,39.73915,-104.9847,179.0
420,1212,Jumpcloud,Boulder,USA,North America,100,2023-01-18,12.0,833,733,Security,Series F,$416,2023,40.01499,-105.27055,416.0
421,1213,nCino,Wilmington,USA,North America,100,2023-01-18,7.0,1429,1329,Finance,Post-IPO,1100,2023,34.23556,-77.94604,100.0
422,1214,Starry,Boston,USA,North America,100,2023-01-18,24.0,417,317,Other,Post-IPO,$260,2023,42.35843,-71.05977,260.0
423,1215,Hootsuite,Vancouver,Canada,North America,70,2023-01-18,7.0,1000,930,Marketing,Series C,$300,2023,49.24966,-123.11934,300.0
424,1216,Clue,Berlin,Germany,Europe,31,2023-01-18,31.0,100,69,Healthcare,Unknown,$47,2023,52.52437,13.41053,47.0
425,1217,Addepar,San Francisco Bay Area,USA,North America,20,2023-01-18,3.0,667,647,Finance,Series F,$491,2023,37.38605,-122.08385,491.0
426,1228,Lightspeed Company,Montreal,Canada,North America,300,2023-01-17,10.0,3000,2700,Retail,Post-IPO,1200,2023,45.50884,-73.58781,200.0
427,1229,Unity,San Francisco Bay Area,USA,North America,284,2023-01-17,3.0,9467,9183,Other,Post-IPO,$1300,2023,37.77493,-122.41942,1300.0
428,1230,Britishvolt,London,United Kingdom,Europe,206,2023-01-17,100.0,206,0,Transportation,Unknown,$2400,2023,51.50853,-0.12574,2400.0
429,1232,Exotel,Bengaluru,India,Asia,142,2023-01-17,15.0,947,805,Support,Series D,$87,2023,12.97194,77.59369,87.0
430,1233,Unico,Sao Paulo,Brazil,South America,110,2023-01-17,10.0,1100,990,Other,Series D,$336,2023,-23.5475,-46.63611,336.0
431,1235,American Robotics,Boston,USA,North America,50,2023-01-17,65.0,77,27,Other,Acquired,$92,2023,42.35843,-71.05977,92.0
432,1247,ShareChat,Bengaluru,India,Asia,500,2023-01-16,20.0,2500,2000,Consumer,Series H,$1700,2023,12.97194,77.59369,1700.0
433,1249,ClearCo,Toronto,Canada,North America,50,2023-01-16,30.0,167,117,Finance,Series C,$698,2023,43.70643,-79.39864,698.0
434,1254,Snappy,New York City,USA,North America,100,2023-01-15,30.0,333,233,Marketing,Series C,$104,2023,40.71427,-74.00597,104.0
435,1255,BharatAgri,Mumbai,India,Asia,40,2023-01-15,43.0,93,53,Food,Series A,$21,2023,19.07283,72.88261,21.0
436,1266,Lending Club,San Francisco Bay Area,USA,North America,225,2023-01-12,14.0,1607,1382,Finance,Post-IPO,$392,2023,37.77493,-122.41942,392.0
437,1267,SmartNews,Tokyo,Japan,Asia,120,2023-01-12,40.0,300,180,Media,Series F,$410,2023,35.6895,139.69171,410.0
438,1269,Pier,Sao Paulo,Brazil,South America,111,2023-01-12,39.0,285,174,Finance,Series B,$42,2023,-23.5475,-46.63611,42.0
439,1270,Blockchain.com,London,United Kingdom,Europe,110,2023-01-12,28.0,393,283,Crypto,Series D,$490,2023,51.50853,-0.12574,490.0
440,1271,Lattice,San Francisco Bay Area,USA,North America,105,2023-01-12,15.0,700,595,HR,Series F,$328,2023,37.77493,-122.41942,328.0
441,1272,Greenlight,Atlanta,USA,North America,104,2023-01-12,21.0,495,391,Finance,Series D,$556,2023,33.749,-84.38798,556.0
442,1276,Akili Labs,Boston,USA,North America,46,2023-01-12,30.0,153,107,Healthcare,Post-IPO,$301,2023,42.35843,-71.05977,301.0
443,1281,Flexport,San Francisco Bay Area,USA,North America,640,2023-01-11,20.0,3200,2560,Logistics,Series E,$2400,2023,37.77493,-122.41942,2400.0
444,1282,Qualtrics,Salt Lake City,USA,North America,270,2023-01-11,5.0,5400,5130,Other,Post-IPO,$400,2023,40.76078,-111.89105,400.0
445,1284,Tipalti,San Francisco Bay Area,USA,North America,123,2023-01-11,11.0,1118,995,Finance,Series F,$565,2023,37.55855,-122.27108,565.0
446,1285,Jumio,San Francisco Bay Area,USA,North America,100,2023-01-11,6.0,1667,1567,Security,Private Equity …,$205,2023,37.36883,-122.03635,205.0
447,1295,Coinbase,San Francisco Bay Area,USA,North America,950,2023-01-10,20.0,4750,3800,Crypto,Post-IPO,$549,2023,37.77493,-122.41942,549.0
448,1297,Blend,San Francisco Bay Area,USA,North America,340,2023-01-10,28.0,1214,874,Finance,Post-IPO,$665,2023,37.77493,-122.41942,665.0
449,1299,ConsenSys,New York City,USA,North America,100,2023-01-10,11.0,909,809,Crypto,Series D,$726,2023,40.71427,-74.00597,726.0
450,1300,ForeScout,Tel Aviv,Israel,Asia,100,2023-01-10,10.0,1000,900,Security,Acquired,$125,2023,32.08088,34.78057,125.0
451,1301,Thinkific,Vancouver,Canada,North America,76,2023-01-10,19.0,400,324,Education,Post-IPO,$22,2023,49.24966,-123.11934,22.0
452,1303,Parler,Nashville,USA,North America,60,2023-01-10,75.0,80,20,Consumer,Series B,$36,2023,36.16589,-86.78444,36.0
453,1304,GoBolt,Toronto,Canada,North America,55,2023-01-10,5.0,1100,1045,Logistics,Series C,$178,2023,43.70643,-79.39864,178.0
454,1306,StreamElements,Tel Aviv,Israel,Asia,40,2023-01-10,20.0,200,160,Media,Series B,$111,2023,32.08088,34.78057,111.0
455,1307,Cart.com,Austin,USA,North America,25,2023-01-10,4.0,625,600,Retail,Unknown,$383,2023,30.26715,-97.74306,383.0
456,1314,Fate Therapeutics,San Diego,USA,North America,315,2023-01-09,57.0,553,238,Healthcare,Post-IPO,1200,2023,32.71571,-117.16472,200.0
457,1318,Minute Media,London,United Kingdom,Europe,50,2023-01-08,10.0,500,450,Media,Series I,$160,2023,51.50853,-0.12574,160.0
458,1319,WalkMe,San Francisco Bay Area,USA,North America,43,2023-01-08,3.0,1433,1390,Other,Post-IPO,$307,2023,37.77493,-122.41942,307.0
459,1321,Huobi,Bejing,China,Asia,275,2023-01-06,20.0,1375,1100,Crypto,Unknown,$2,2023,39.9075,116.39723,2.0
460,1323,Bounce,Bengaluru,India,Asia,40,2023-01-06,5.0,800,760,Transportation,Series D,$214,2023,12.97194,77.59369,214.0
461,1331,SoundHound,San Francisco Bay Area,USA,North America,200,2023-01-05,50.0,400,200,Other,Post-IPO,$326,2023,37.35411,-121.95524,326.0
462,1332,Socure,Reno,USA,North America,104,2023-01-05,19.0,547,443,Finance,Series E,$646,2023,39.52963,-119.8138,646.0
463,1334,Moglix,Singapore,Singapore,Asia,40,2023-01-05,2.0,2000,1960,Retail,Series F,$472,2023,1.28967,103.85007,472.0
464,1336,Everlane,San Francisco Bay Area,USA,North America,30,2023-01-05,17.0,176,146,Retail,Unknown,$176,2023,37.77493,-122.41942,176.0
465,1337,Pecan AI,Tel Aviv,Israel,Asia,30,2023-01-05,25.0,120,90,Data,Series C,$116,2023,32.08088,34.78057,116.0
466,1338,Personetics,New York City,USA,North America,30,2023-01-05,8.0,375,345,Support,Private Equity …,$178,2023,40.71427,-74.00597,178.0
467,1339,Twine Solutions,Tel Aviv,Israel,Asia,30,2023-01-05,33.0,91,61,Hardware,Unknown,$50,2023,32.08088,34.78057,50.0
468,1340,UpScalio,Gurugram,India,Asia,25,2023-01-05,15.0,167,142,Retail,Series B,$62,2023,28.4601,77.02635,62.0
469,1346,Amazon,Seattle,USA,North America,8000,2023-01-04,2.0,400000,392000,Retail,Post-IPO,$108,2023,47.60621,-122.33207,108.0
470,1347,SaleSan Franciscoorce,San Francisco Bay Area,USA,North America,8000,2023-01-04,10.0,80000,72000,Sales,Post-IPO,$65,2023,37.77493,-122.41942,65.0
471,1348,Astronomer,Cincinnati,USA,North America,76,2023-01-04,20.0,380,304,Data,Series C,$282,2023,39.12711,-84.51439,282.0
472,1349,Kaltura,New York City,USA,North America,75,2023-01-04,11.0,682,607,Media,Post-IPO,$166,2023,40.71427,-74.00597,166.0
473,1350,Augury,New York City,USA,North America,20,2023-01-04,5.0,400,380,Manufacturing,Series E,$274,2023,40.71427,-74.00597,274.0
474,1355,Uniphore,San Francisco Bay Area,USA,North America,76,2023-01-03,10.0,760,684,Support,Series E,$620,2023,37.44188,-122.14302,620.0
475,1359,Micron,Boise,USA,North America,4800,2023-01-01,10.0,48000,43200,Hardware,Post-IPO,$50,2023,43.6135,-116.20345,50.0
476,1369,Back Market,Paris,France,Europe,93,2022-12-23,13.0,715,622,Retail,Series E,$1000,2022,48.85341,2.3488,1000.0
477,1372,TuSimple,San Diego,USA,North America,350,2022-12-21,25.0,1400,1050,Transportation,Post-IPO,$648,2022,32.71571,-117.16472,648.0
478,1374,Chope,Singapore,Singapore,Asia,65,2022-12-20,24.0,271,206,Food,Series E,$50,2022,1.28967,103.85007,50.0
479,1375,Briza,Toronto,Canada,North America,26,2022-12-20,40.0,65,39,Finance,Series A,$10,2022,43.70643,-79.39864,10.0
480,1378,Homebot,Denver,USA,North America,18,2022-12-19,13.0,138,120,Real Estate,Acquired,$4,2022,39.73915,-104.9847,4.0
481,1382,Tomorrow,Hamburg,Germany,Europe,30,2022-12-16,25.0,120,90,Finance,Unknown,$29,2022,53.55073,9.99302,29.0
482,1383,Revelate,Montreal,Canada,North America,24,2022-12-16,30.0,80,56,Data,Series A,$26,2022,45.50884,-73.58781,26.0
483,1391,BigCommerce,Austin,USA,North America,180,2022-12-15,13.0,1385,1205,Retail,Post-IPO,$224,2022,30.26715,-97.74306,224.0
484,1392,Freshworks,San Francisco Bay Area,USA,North America,90,2022-12-15,2.0,4500,4410,Support,Post-IPO,$484,2022,37.56299,-122.32553,484.0
485,1393,LeafLink,New York City,USA,North America,80,2022-12-15,31.0,258,178,Other,Series C,$379,2022,40.71427,-74.00597,379.0
486,1394,Workmotion,Berlin,Germany,Europe,60,2022-12-15,20.0,300,240,HR,Series B,$76,2022,52.52437,13.41053,76.0
487,1396,JD.ID,Jakarta,Indonesia,Asia,200,2022-12-14,30.0,667,467,Retail,Post-IPO,5100,2022,-6.21462,106.84513,100.0
488,1399,Headspace,Los Angeles,USA,North America,50,2022-12-14,4.0,1250,1200,Healthcare,Unknown,$215,2022,34.05223,-118.24368,215.0
489,1400,ChowNow,Los Angeles,USA,North America,40,2022-12-14,10.0,400,360,Food,Series C,$64,2022,34.05223,-118.24368,64.0
490,1402,Thumbtack,San Francisco Bay Area,USA,North America,160,2022-12-13,14.0,1143,983,Consumer,Series I,$698,2022,37.77493,-122.41942,698.0
491,1403,Edgio,Phoenix,USA,North America,95,2022-12-13,10.0,950,855,Infrastructure,Post-IPO,$462,2022,33.44838,-112.07404,462.0
492,1404,Komodo Health,San Francisco Bay Area,USA,North America,78,2022-12-13,9.0,867,789,Healthcare,Series E,$514,2022,37.77493,-122.41942,514.0
493,1407,Pluralsight,Salt Lake City,USA,North America,400,2022-12-12,20.0,2000,1600,Education,Acquired,$192,2022,40.76078,-111.89105,192.0
494,1411,Outschool,San Francisco Bay Area,USA,North America,43,2022-12-10,25.0,172,129,Education,Series D,$240,2022,37.77493,-122.41942,240.0
495,1412,Xentral,Munich,Germany,Europe,20,2022-12-10,10.0,200,180,Product,Series B,$94,2022,48.13743,11.57549,94.0
496,1418,Alice,Sao Paulo,Brazil,South America,113,2022-12-09,16.0,706,593,Healthcare,Series C,$174,2022,-23.5475,-46.63611,174.0
497,1419,Primer,London,United Kingdom,Europe,85,2022-12-09,33.0,258,173,Finance,Series B,$73,2022,51.50853,-0.12574,73.0
498,1420,OneFootball,Berlin,Germany,Europe,62,2022-12-09,12.0,517,455,Marketing,Series D,$442,2022,52.52437,13.41053,442.0
499,1421,C2FO,Kansas City,USA,North America,20,2022-12-09,2.0,1000,980,Finance,Series H,$537,2022,39.09973,-94.57857,537.0
500,1426,Airtable,San Francisco Bay Area,USA,North America,254,2022-12-08,20.0,1270,1016,Product,Series F,$1400,2022,37.77493,-122.41942,1400.0
501,1427,Swiggy,Bengaluru,India,Asia,250,2022-12-08,3.0,8333,8083,Food,Unknown,3600,2022,12.97194,77.59369,600.0
502,1428,Glints,Singapore,Singapore,Asia,198,2022-12-08,18.0,1100,902,HR,Series D,$82,2022,1.28967,103.85007,82.0
503,1429,Buser,Sao Paulo,Brazil,South America,160,2022-12-08,30.0,533,373,Transportation,Series C,$138,2022,-23.5475,-46.63611,138.0
504,1430,BlackLine,Los Angeles,USA,North America,95,2022-12-08,5.0,1900,1805,Finance,Private Equity …,$220,2022,34.05223,-118.24368,220.0
505,1432,Otonomo,Tel Aviv,Israel,Asia,80,2022-12-08,50.0,160,80,Transportation,Post-IPO,$231,2022,32.08088,34.78057,231.0
506,1433,TechTarget,Boston,USA,North America,60,2022-12-08,5.0,1200,1140,Marketing,Post-IPO,$115,2022,42.35843,-71.05977,115.0
507,1435,CyCognito,San Francisco Bay Area,USA,North America,30,2022-12-08,15.0,200,170,Security,Series C,$153,2022,37.44188,-122.14302,153.0
508,1436,Armis,San Francisco Bay Area,USA,North America,25,2022-12-08,4.0,625,600,Security,Private Equity …,$537,2022,37.77493,-122.41942,537.0
509,1444,Loft,Sao Paulo,Brazil,South America,312,2022-12-07,12.0,2600,2288,Real Estate,Unknown,$788,2022,-23.5475,-46.63611,788.0
510,1445,Plaid,San Francisco Bay Area,USA,North America,260,2022-12-07,20.0,1300,1040,Finance,Series D,$734,2022,37.77493,-122.41942,734.0
511,1446,Motive,San Francisco Bay Area,USA,North America,237,2022-12-07,6.0,3950,3713,Transportation,Series F,$567,2022,37.77493,-122.41942,567.0
512,1448,Relativity,Chicago,USA,North America,150,2022-12-07,10.0,1500,1350,Legal,Private Equity …,$125,2022,41.85003,-87.65005,125.0
513,1449,Voi,Stockholm,Sweden,Europe,130,2022-12-07,13.0,1000,870,Transportation,Series D,$515,2022,59.32938,18.06871,515.0
514,1450,Integral Ad Science,New York City,USA,North America,120,2022-12-07,13.0,923,803,Marketing,Acquired,$116,2022,40.71427,-74.00597,116.0
515,1451,Houzz,San Francisco Bay Area,USA,North America,95,2022-12-07,8.0,1188,1093,Consumer,Series E,$613,2022,37.44188,-122.14302,613.0
516,1452,Grover,Berlin,Germany,Europe,40,2022-12-07,10.0,400,360,Retail,Unknown,2300,2022,52.52437,13.41053,300.0
517,1453,Lev,New York City,USA,North America,30,2022-12-07,30.0,100,70,Real Estate,Series B,$114,2022,40.71427,-74.00597,114.0
518,1454,Lithic,New York City,USA,North America,27,2022-12-07,18.0,150,123,Finance,Series C,$115,2022,40.71427,-74.00597,115.0
519,1459,Doma,San Francisco Bay Area,USA,North America,515,2022-12-06,40.0,1288,773,Finance,Post-IPO,$679,2022,37.77493,-122.41942,679.0
520,1461,BuzzFeed,New York City,USA,North America,180,2022-12-06,12.0,1500,1320,Media,Post-IPO,$696,2022,40.71427,-74.00597,696.0
521,1464,Chipper Cash,San Francisco Bay Area,USA,North America,50,2022-12-06,13.0,385,335,Finance,Series C,$302,2022,37.77493,-122.41942,302.0
522,1465,Stash,New York City,USA,North America,32,2022-12-06,8.0,400,368,Finance,Unknown,$480,2022,40.71427,-74.00597,480.0
523,1466,Perimeter 81,Tel Aviv,Israel,Asia,20,2022-12-06,8.0,250,230,Security,Series C,$165,2022,32.08088,34.78057,165.0
524,1468,Bridgit,Waterloo,Canada,North America,13,2022-12-06,13.0,100,87,Construction,Series B,$36,2022,43.4668,-80.51639,36.0
525,1475,Aqua Security,Boston,USA,North America,65,2022-12-05,10.0,650,585,Security,Series E,$265,2022,42.35843,-71.05977,265.0
526,1476,DataRails,Tel Aviv,Israel,Asia,30,2022-12-05,18.0,167,137,Finance,Series B,$103,2022,32.08088,34.78057,103.0
527,1485,Polly,Burlington,USA,North America,47,2022-12-02,15.0,313,266,Finance,Series C,$184,2022,44.47588,-73.21207,184.0
528,1488,Carousell,Singapore,Singapore,Asia,110,2022-12-01,10.0,1100,990,Retail,Private Equity …,$372,2022,1.28967,103.85007,372.0
529,1489,Bizzabo,New York City,USA,North America,100,2022-12-01,37.0,270,170,Marketing,Series E,$194,2022,40.71427,-74.00597,194.0
530,1491,Netlify,San Francisco Bay Area,USA,North America,48,2022-12-01,16.0,300,252,Product,Series D,$212,2022,37.77493,-122.41942,212.0
531,1492,Springbig,Miami,USA,North America,37,2022-12-01,23.0,161,124,Sales,Post-IPO,$32,2022,25.77427,-80.19366,32.0
532,1498,DoorDash,San Francisco Bay Area,USA,North America,1250,2022-11-30,6.0,20833,19583,Food,Post-IPO,$2500,2022,37.77493,-122.41942,2500.0
533,1499,Kraken,San Francisco Bay Area,USA,North America,1100,2022-11-30,30.0,3667,2567,Crypto,Unknown,$134,2022,37.77493,-122.41942,134.0
534,1500,Happy Money,Los Angeles,USA,North America,158,2022-11-30,34.0,465,307,Finance,Series D,$191,2022,34.05223,-118.24368,191.0
535,1501,Ula,Jakarta,Indonesia,Asia,134,2022-11-30,23.0,583,449,Retail,Series B,$140,2022,-6.21462,106.84513,140.0
536,1502,Wonder,New York City,USA,North America,130,2022-11-30,7.0,1857,1727,Food,Series B,$850,2022,40.71427,-74.00597,850.0
537,1504,Grin,Sacramento,USA,North America,60,2022-11-30,13.0,462,402,Marketing,Series B,$145,2022,38.58157,-121.4944,145.0
538,1505,Ualá,Buenos Aires,Argentina,South America,53,2022-11-30,3.0,1767,1714,Finance,Series D,$544,2022,-34.61315,-58.37723,544.0
539,1506,Teachmint,Bengaluru,India,Asia,45,2022-11-30,5.0,900,855,Education,Series B,$118,2022,12.97194,77.59369,118.0
540,1508,Thread,London,United Kingdom,Europe,30,2022-11-30,50.0,60,30,Retail,Acquired,$40,2022,51.50853,-0.12574,40.0
541,1516,Lyst,London,United Kingdom,Europe,50,2022-11-29,25.0,200,150,Retail,Unknown,$144,2022,51.50853,-0.12574,144.0
542,1517,CoinJar,Melbourne,Australia,Australia,10,2022-11-29,20.0,50,40,Crypto,Unknown,$1,2022,-37.814,144.96332,1.0
543,1525,Infarm,Berlin,Germany,Europe,500,2022-11-28,50.0,1000,500,Other,Series D,$604,2022,52.52437,13.41053,604.0
544,1526,Wildlife Studios,Sao Paulo,Brazil,South America,300,2022-11-28,20.0,1500,1200,Consumer,Unknown,$260,2022,-23.5475,-46.63611,260.0
545,1528,ApplyBoard,Waterloo,Canada,North America,90,2022-11-28,6.0,1500,1410,Education,Series D,$483,2022,43.4668,-80.51639,483.0
